Person G S E D N Person2 G2 S2 E2 D2 N2 
1 1 12 1 3 2 19 2 12 2 2 2
2 1 13 3 4 2 20 1 15 2 3 3
3 1 12 5 4 3 21 1 13 3 4 2
4 1 12 2 3 3 22 2 13 4 3 3
5 1 9 3 4 2 23 1 15 1 4 2
6 1 12 2 1 1 24 1 13 3 2 2
7 2 14 5 3 5 25 2 15 4 4 3
8 2 10 1 4 2 26 1 12 2 4 2
9 1 18 3 3 1 27 1 14 1 3 2
10 2 10 3 4 3 28 1 10 2 4 2
11 1 13 4 4 3 29 1 12 3 3 2
12 1 15 4 3 2 30 1 17 2 3 2
13 2 13 2 2 2 31 1 11 1 4 2
14 1 16 3 3 2 32 1 14 3 2 3
15 1 14 3 4 2 33 1 11 2 1 2
16 1 13 2 3 2 34 2 13 2 4 3
17 1 13 2 4 2 35 2 11 3 4 3
18 1 17 1 4 3 36 2 7 1 4 2
